customer_id,customer_code,customer_name,region_id,signup_date,account_status
1,CUST00001,Karthik Bose,2,2025-07-15,ACTIVE
2,CUST00002,Arjun Kulkarni,2,2025-01-13,ACTIVE
3,CUST00003,Riya Iyer,4,2026-02-26,ACTIVE
4,CUST00004,Nikhil Kapoor,1,2026-02-22,ACTIVE
5,CUST00005,Aditya Kumar,1,2026-03-05,INACTIVE
6,CUST00006,Aditya Patel,2,2026-05-30,ACTIVE
7,CUST00007,Varun Joshi,4,2025-07-15,INACTIVE
8,CUST00008,Priya Mehta,1,2025-12-28,ACTIVE
9,CUST00009,Arjun Iyer,4,2025-12-15,ACTIVE
10,CUST00010,Vivaan Bose,1,2025-08-20,ACTIVE
11,CUST00011,Sneha Joshi,2,2026-04-17,ACTIVE
12,CUST00012,Riya Naidu,3,2026-07-23,ACTIVE
13,CUST00013,Meera Gupta,2,2025-05-13,ACTIVE
14,CUST00014,Diya Mishra,1,2026-05-12,ACTIVE
15,CUST00015,Nandini Naidu,4,2025-09-16,ACTIVE
16,CUST00016,Kavya Kulkarni,3,2025-11-02,ACTIVE
17,CUST00017,Varun Das,1,2025-02-08,ACTIVE
18,CUST00018,Nandini Mishra,4,2025-10-12,ACTIVE
19,CUST00019,Karthik Joshi,3,2025-01-26,ACTIVE
20,CUST00020,Sai Bose,1,2025-01-02,INACTIVE
21,CUST00021,Ishita Das,3,2026-03-07,ACTIVE
22,CUST00022,Karthik Naidu,1,2025-12-28,ACTIVE
23,CUST00023,Aditya Kapoor,4,2025-05-20,INACTIVE
24,CUST00024,Aditi Mehta,1,2025-07-04,SUSPENDED
25,CUST00025,Kavya Nair,2,2025-10-11,ACTIVE
26,CUST00026,Aditya Menon,2,2025-11-06,SUSPENDED
27,CUST00027,Sai Patel,1,2025-05-15,ACTIVE
28,CUST00028,Nikhil Naidu,1,2025-11-15,ACTIVE
29,CUST00029,Riya Sharma,3,2025-02-22,CLOSED
30,CUST00030,Aarav Singh,3,2025-11-27,INACTIVE
31,CUST00031,Sai Chauhan,2,2025-04-08,ACTIVE
32,CUST00032,Nikhil Reddy,1,2026-06-13,ACTIVE
33,CUST00033,Ishita Gupta,3,2026-07-03,ACTIVE
34,CUST00034,Rohan Reddy,1,2025-06-08,CLOSED
35,CUST00035,Vivaan Joshi,1,2025-09-26,ACTIVE
36,CUST00036,Rohan Chauhan,3,2026-01-27,ACTIVE
37,CUST00037,Diya Menon,1,2025-06-28,ACTIVE
